###The text below is copied/pasted from https://docs.broadcom.com/doc/5988-7539EN
  20 00 00 00 00 00
! 21 00 5F 00 00 00
' 22 00 03 00 03 00
# 23 14 7F 14 7F 14
$ 24 24 2A 7F 2A 12
% 25 23 13 08 64 62
& 26 36 49 56 20 50
" 27 00 0B 07 00 00
( 28 00 00 3E 41 00
) 29 00 41 3E 00 00
* 2A 08 2A 1C 2A 08
+ 2B 08 08 3E 08 08
, 2C 00 58 38 00 00
- 2D 08 08 08 08 08
. 2E 00 30 30 00 00
/ 2F 20 10 08 04 02
0 30 3E 51 49 45 3E
1 31 00 42 7F 40 00
2 32 62 51 49 49 46
3 33 22 41 49 49 36
4 34 18 14 12 7F 10
5 35 27 45 45 45 39
6 36 3C 4A 49 49 30
7 37 01 71 09 05 03
8 38 36 49 49 49 36
9 39 06 49 49 29 1E
: 3A 00 36 36 00 00
; 3B 00 5B 3B 00 00
< 3C 00 08 14 22 41
= 3D 14 14 14 14 14
> 3E 41 22 14 08 00
? 3F 02 01 51 09 06
@ 40 3E 41 5D 55 1E
A 41 7E 09 09 09 7E
B 42 7E 49 49 49 36
C 43 3E 41 41 41 22
D 44 7F 41 41 41 3E
E 45 7F 49 49 49 41
F 46 7F 09 09 09 01
G 47 3E 41 41 51 32
H 48 7F 08 08 08 7F
I 49 00 41 7F 41 00
J 4A 20 40 40 40 3F
K 4B 7F 08 14 22 41
L 4C 7F 40 40 40 40
M 4D 7F 02 0C 02 7F
N 4E 7F 04 08 10 7F
O 4F 3E 41 41 41 3E
P 50 7F 09 09 09 06
Q 51 3E 41 51 21 5E
R 52 7F 09 19 29 46
S 53 26 49 49 49 32
T 54 01 01 7F 01 01
U 55 3F 40 40 40 3F
V 56 07 18 60 18 07
W 57 7F 20 18 20 7F
X 58 63 14 08 14 63
Y 59 03 04 78 04 03
Z 5A 61 51 49 45 43
[ 5B 00 00 7F 41 41
\ 5C 02 04 08 10 20
] 5D 41 41 7F 00 00
- 5E 04 02 7F 02 04
_ 5F 40 40 40 40 40
` 60 00 07 0B 00 00
a 61 38 44 44 3C 40
b 62 7F 48 44 44 38
c 63 38 44 44 44 44
d 64 38 44 44 48 7F
e 65 38 54 54 54 08
f 66 08 7E 09 02 00
g 67 08 14 54 54 3C
h 68 7F 08 04 04 78
i 69 00 44 7D 40 00
j 6A 20 40 44 3D 00
k 6B 00 7F 10 28 44
l 6C 00 41 7F 40 00
m 6D 78 04 18 04 78
n 6E 7C 08 04 04 78
o 6F 38 44 44 44 38
p 70 7C 14 24 24 18
q 71 18 24 14 7C 40
r 72 00 7C 08 04 04
s 73 48 54 54 54 20
t 74 04 3E 44 20 00
u 75 3C 40 40 20 7C
v 76 1C 20 40 20 1C
w 77 3C 40 30 40 3C
x 78 44 28 10 28 44
y 79 04 48 30 08 04
z 7A 44 64 54 4C 44
{ 7B 00 08 36 41 00
| 7C 00 00 77 00 00
} 7D 00 41 36 08 00
~ 7E 08 04 08 10 08
